periodid,periodname,periodcode,perioddescription,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,Cycle Beads,DMPA-IM,DMPA-SC,Hormonal IUCD,Non-Hormonal IUCD,Implanon,Male Condoms,Female Condoms,EC Pills,COCs,POPs,Type
202003,Mar-20,202003,,o36zCRjSd4G,Samburu County,KE_County_25,,,1053.0,,,4.0,72.0,1504.0,5.0,23.0,243.0,167.0,Consumption
202003,Mar-20,202003,,ptWVfaCIdVx,Nyeri County,KE_County_19,,,4221.0,,,886.0,324.0,43698.0,656.0,120.0,5628.0,1230.0,Consumption
202003,Mar-20,202003,,mYZacFNIB3h,Nyandarua County,KE_County_18,,4.0,3136.0,,,155.0,229.0,14851.0,120.0,26.0,2437.0,600.0,Consumption
202003,Mar-20,202003,,uepLTG8wGWJ,Nyamira County,KE_County_46,,,5923.0,,,1624.0,1049.0,78703.0,698.0,39.0,1815.0,391.0,Consumption
202003,Mar-20,202003,,kqJ83J2D72s,Narok County,KE_County_33,,,4872.0,,,354.0,432.0,16969.0,217.0,178.0,592.0,156.0,Consumption
202003,Mar-20,202003,,t0J75eHKxz5,Nandi County,KE_County_29,,,5292.0,,,26.0,401.0,83891.0,888.0,190.0,1549.0,427.0,Consumption
202003,Mar-20,202003,,Y52XNJ50hYb,Meru County,KE_County_12,,,5463.0,,,108.0,366.0,37748.0,668.0,68.0,3757.0,1573.0,Consumption
202003,Mar-20,202003,,fVra3Pwta0Q,Migori County,KE_County_44,,6.0,4740.0,,,1195.0,3434.0,72239.0,359.0,49.0,1607.0,250.0,Consumption
202003,Mar-20,202003,,wsBsC6gjHvn,Mombasa County,KE_County_1,,8.0,4979.0,,,303.0,386.0,12331.0,328.0,23.0,2953.0,571.0,Consumption
202003,Mar-20,202003,,ahwTMNAJvrL,Muranga County,KE_County_21,,,4274.0,,,165.0,96.0,12715.0,261.0,2942.0,4470.0,1404.0,Consumption
202003,Mar-20,202003,,jkG3zaihdSs,Nairobi County,KE_County_47,,60.0,19831.0,,,1343.0,2392.0,459731.0,4004.0,332.0,15587.0,4750.0,Consumption
202003,Mar-20,202003,,ob6SxuRcqU4,Nakuru County,KE_County_32,,16.0,12606.0,,,1235.0,436.0,378395.0,1442.0,352.0,6784.0,1928.0,Consumption
202004,Apr-20,202004,,vvOK1BxTbet,Baringo County,KE_County_30,,,2000.0,,,21.0,50.0,35601.0,439.0,25.0,730.0,136.0,Consumption
202004,Apr-20,202004,,HMNARUV2CW4,Bomet County,KE_County_36,,,7182.0,,,25.0,490.0,34568.0,296.0,12.0,1079.0,229.0,Consumption
202004,Apr-20,202004,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,2.0,10647.0,,,80.0,287.0,138048.0,545.0,120.0,2016.0,660.0,Consumption
202004,Apr-20,202004,,Tvf1zgVZ0K4,Busia County,KE_County_40,,,3811.0,,,157.0,177.0,30803.0,28.0,9.0,1283.0,150.0,Consumption
202004,Apr-20,202004,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,2.0,2362.0,,,215.0,148.0,30037.0,662.0,51.0,746.0,94.0,Consumption
202004,Apr-20,202004,,PFu8alU2KWG,Embu County,KE_County_14,,,4634.0,,,58.0,63.0,17025.0,105.0,25.0,3872.0,1166.0,Consumption
202004,Apr-20,202004,,uyOrcHZBpW0,Garissa County,KE_County_7,,,445.0,,,10.0,39.0,1470.0,,2.0,117.0,184.0,Consumption
202004,Apr-20,202004,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,55.0,7885.0,,,160.0,453.0,70601.0,2568.0,42.0,1118.0,291.0,Consumption
202004,Apr-20,202004,,bzOfj0iwfDH,Isiolo County,KE_County_11,,,565.0,,,250.0,47.0,9603.0,100.0,12.0,315.0,38.0,Consumption
202004,Apr-20,202004,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,120.0,5777.0,,,117.0,224.0,26727.0,21.0,105.0,2440.0,765.0,Consumption
202004,Apr-20,202004,,BjC1xL40gHo,Kakamega County,KE_County_37,,15.0,9032.0,,,127.0,453.0,93065.0,54.0,164.0,4240.0,436.0,Consumption
202004,Apr-20,202004,,ihZsJ8alvtb,Kericho County,KE_County_35,,112.0,4953.0,,,44.0,185.0,48628.0,6728.0,5.0,1268.0,484.0,Consumption
202004,Apr-20,202004,,qKzosKQPl6G,Kiambu County,KE_County_22,,13.0,6955.0,,,859.0,510.0,25421.0,298.0,416.0,6977.0,3654.0,Consumption
202004,Apr-20,202004,,nrI2khZx3d0,Kilifi County,KE_County_3,,,8786.0,,,1217.0,293.0,53264.0,653.0,100.0,3206.0,459.0,Consumption
202004,Apr-20,202004,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,2.0,4043.0,,,138.0,12.0,6943.0,145.0,59.0,6821.0,1292.0,Consumption
202004,Apr-20,202004,,sPkRcDvhGWA,Kisii County,KE_County_45,,,4814.0,,,693.0,515.0,104292.0,130.0,116.0,1560.0,230.0,Consumption
202004,Apr-20,202004,,tAbBVBbueqD,Kisumu County,KE_County_42,,,4891.0,,,347.0,890.0,50336.0,644.0,86.0,1816.0,383.0,Consumption
202004,Apr-20,202004,,j8o6iO4Njsi,Kitui County,KE_County_15,,,8826.0,,,42.0,467.0,15531.0,511.0,83.0,2499.0,411.0,Consumption
